Stock_Name,Trade_Type,Account,Date,Result_Value
PPL,Market Buy,TFSA,"October 18, 2021",$842.00
Deposit,,TFSA,"Oct 18, 2021",$900.00
BKCC,Market Buy,TFSA,"October 12, 2021",$10.47
MEDV,Market Sell,TFSA,"October 12, 2021",$4.44
MYCO,Market Sell,TFSA,"October 12, 2021",$3.40
T,Limit Buy,TFSA,"October 12, 2021",$137.25
T,Limit Buy,TFSA,"October 8, 2021",$55.00
INFY,Limit Buy,TFSA,"October 8, 2021",Cancelled
Deposit,,TFSA,"Oct 8, 2021",$200.00
MEDV,Limit Sell,TFSA,"October 7, 2021",Cancelled
MYCO,Limit Sell,TFSA,"October 7, 2021",Cancelled
T,Limit Buy,TFSA,"October 4, 2021",$110.00
T,Limit Buy,TFSA,"October 4, 2021",Expired
PZA,Limit Buy,TFSA,"October 1, 2021",Cancelled
T,Dividend,Non-registered,"Oct 1, 2021",$3.16
PZA,Limit Buy,TFSA,"September 30, 2021",$112.00
T,Limit Buy,TFSA,"September 29, 2021",$278.00
Deposit,,TFSA,"Sep 29, 2021",$500.00
DOGE,Limit Buy,Crypto,"August 26, 2021",$250.00
Deposit,,Crypto,"Aug 26, 2021",$250.00
DOGE,Limit Buy,Crypto,"August 18, 2021",$50.00
Deposit,,Crypto,"Aug 18, 2021",$50.00
Withdrawal,,Non-registered,"Aug 18, 2021",$30.00
MYCO,Limit Sell,TFSA,"August 17, 2021",Cancelled
T,Market Buy,Non-registered,"August 17, 2021",$287.60
DOGE,Market Buy,Crypto,"August 13, 2021",$50.00
Deposit,,Crypto,"Aug 13, 2021",$50.00
T,Limit Buy,Non-registered,"August 13, 2021",Cancelled
STNG,Limit Sell,Non-registered,"August 12, 2021",$321.75
STNG,Limit Sell,Non-registered,"August 12, 2021",Cancelled
MEDV,Market Buy,TFSA,"August 12, 2021",$0.13
INFY,Limit Buy,TFSA,"August 10, 2021",$58.17
STNG,Limit Buy,Non-registered,"August 10, 2021",$94.60
STNG,Limit Buy,Non-registered,"August 5, 2021",Cancelled
DOGE,Market Buy,Crypto,"August 5, 2021",$50.00
Deposit,,Crypto,"Aug 5, 2021",$50.00
STNG,Limit Sell,Non-registered,"August 5, 2021",Cancelled
STNG,Limit Sell,Non-registered,"August 5, 2021",Cancelled
STNG,Limit Buy,Non-registered,"August 4, 2021",$220.00
STNG,Limit Buy,Non-registered,"August 3, 2021",Cancelled
STNG,Limit Buy,Non-registered,"August 3, 2021",Cancelled
GE,Limit Buy,TFSA,"July 30, 2021",$16.42
AMAT,Limit Buy,Non-registered,"July 29, 2021",Expired
AMZN,Fractional Buy,TFSA,"July 29, 2021",Cancelled
LXR,Limit Buy,Non-registered,"July 27, 2021",Cancelled
STNG,Limit Sell,Non-registered,"July 27, 2021",$100.00
STNG,Limit Sell,Non-registered,"July 27, 2021",$122.50
STNG,Limit Sell,Non-registered,"July 26, 2021",Cancelled
STNG,Limit Buy,Non-registered,"July 26, 2021",Cancelled
STNG,Limit Sell,Non-registered,"July 22, 2021",Cancelled
STNG,Limit Buy,Non-registered,"July 22, 2021",Cancelled
STNG,Limit Buy,Non-registered,"July 21, 2021",Cancelled
STNG,Limit Buy,Non-registered,"July 21, 2021",Cancelled
STNG,Limit Buy,Non-registered,"July 21, 2021",Cancelled
STNG,Limit Sell,Non-registered,"July 21, 2021",Cancelled
STNG,Limit Buy,Non-registered,"July 20, 2021",$213.48
STNG,Market Buy,Non-registered,"July 20, 2021",Cancelled
MEDV,Limit Buy,Non-registered,"July 20, 2021",Cancelled
MYCO,Limit Buy,TFSA,"July 20, 2021",Cancelled
MEDV,Limit Sell,TFSA,"July 19, 2021",Cancelled
BBD.B,Limit Sell,TFSA,"July 19, 2021",$26.28
MYCO,Limit Sell,TFSA,"July 19, 2021",Cancelled
AC,Limit Sell,TFSA,"July 19, 2021",Cancelled
BBD.B,Limit Sell,TFSA,"July 19, 2021",Expired
MEDV,Limit Sell,TFSA,"July 19, 2021",Expired
MEDV,Market Buy,TFSA,"July 19, 2021",$0.72
BBD.B,Limit Buy,TFSA,"July 19, 2021",$10.48
INFY,Market Buy,TFSA,"July 19, 2021",$53.51
BBD.B,Market Buy,TFSA,"July 19, 2021",$6.60
GE,Market Buy,TFSA,"July 19, 2021",$15.69
AC,Market Buy,TFSA,"July 19, 2021",$23.62
GE,Market Buy,TFSA,"July 19, 2021",Cancelled
INFY,Market Buy,TFSA,"July 19, 2021",Cancelled
MEDV,Limit Buy,TFSA,"July 18, 2021",Cancelled
AC,Limit Buy,TFSA,"July 18, 2021",Cancelled
INFY,Limit Buy,TFSA,"July 18, 2021",Cancelled
Deposit,,TFSA,"Jul 16, 2021",$100.00
MYCO,Market Buy,TFSA,"July 14, 2021",$5.00
MEDV,Market Buy,TFSA,"July 14, 2021",$7.50
BBD.B,Market Buy,TFSA,"July 14, 2021",$7.30
Deposit,,Crypto,"Jul 14, 2021",Cancelled
INFY,Limit Buy,TFSA,"July 10, 2021",Cancelled
INFY,Limit Buy,TFSA,"July 8, 2021",Expired
